,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
2074,601339,百隆东方,0.0227,0.0103,0.35200000000000004,0.026000000000000002,2.9832
2075,300254,仟源医药,0.0226,0.0118,0.5315,0.0354,5.8802
2076,600070,浙江富润,0.0226,0.0087,0.882,0.02,2.6976
2077,002588,史丹利,0.0226,0.0251,0.2553,0.0639,7.0207
2078,002676,顺威股份,0.0226,0.0168,15.9535,0.0499,5.7624
2079,002016,世荣兆业,0.0225,0.006,0.4893,0.0091,1.0354
2080,601718,际华集团,0.0225,0.02,0.4484,0.0414,8.3221
2081,300405,科隆精化,0.0224,0.013999999999999999,,0.0256,2.6874
2082,600319,*ST亚星,0.0224,0.0145,,0.0134,1.3797
2083,600257,大湖股份,0.0223,0.012,3.5851,0.0255,2.8757
2084,600105,永鼎股份,0.0223,0.0149,0.2528,0.0451,4.7343
2085,000568,泸州老窖,0.0221,0.0116,0.0985,0.0542,5.6309
2086,600843,上工申贝,0.022000000000000002,0.0162,0.2887,0.0464,6.4664
2087,002528,英飞拓,0.022000000000000002,0.0135,0.5785,0.0725,8.397
2088,002328,新朋股份,0.0219,0.0223,0.5711,0.0748,7.9073
